FUR-BO-3649,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",0.1,53.34,each,1.6,17.39
FUR-BO-5520,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,0.1,40.81,each,1.22,14.57
FUR-BO-5956,Furniture,Bookcases,Sauder Cornerstone Collection Library,0.1,28.81,each,0.86,15.49
FUR-CH-4623,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,0.1,560.78,each,16.82,700.98
FUR-CH-4699,Furniture,Chairs,"Hon Steel Folding Chair, Red",0.1,43.44,each,1.3,43.42
FUR-CH-5369,Furniture,Chairs,"Novimex Bag Chairs, Set of Two",0.1,36.66,each,1.1,43.39
FUR-CH-5436,Furniture,Chairs,"Office Star Bag Chairs, Set of Two",0.1,31.17,each,0.94,43.27
FUR-FU-4016,Furniture,Furnishings,Eldon 100 Class Desk Accessories,0.1,2.29,each,0.07,1.35
FUR-FU-4386,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",0.1,1.54,each,0.05,1.16
FUR-FU-5154,Furniture,Furnishings,Longer-Life Soft White Bulbs,0.1,1.6,each,0.05,1.23
FUR-FU-5479,Furniture,Furnishings,OIC Stacking Trays,0.1,1.87,each,0.06,1.34
FUR-TA-3331,Furniture,Tables,Balt Solid Wood Rectangular Table,0.1,94.94,each,2.85,58.02
FUR-TA-3333,Furniture,Tables,Balt Split Level Computer Training Table,0.1,116.55,each,3.5,69.38
FUR-TA-3335,Furniture,Tables,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",0.1,74.59,each,2.24,60.48
FUR-TA-3336,Furniture,Tables,"Barricks Coffee Table, Adjustable Height",0.1,149.84,each,4.5,60.74
FUR-TA-3338,Furniture,Tables,"Barricks Coffee Table, Rectangular",0.1,191.42,each,5.74,59.81
FUR-TA-3343,Furniture,Tables,"Barricks Conference Table, Adjustable Height",0.1,527.4,each,15.82,636.49
FUR-TA-3344,Furniture,Tables,"Barricks Conference Table, Fully Assembled",0.1,563.31,each,16.9,908.55
FUR-TA-3345,Furniture,Tables,"Barricks Conference Table, Rectangular",0.1,615.18,each,18.46,904.65
FUR-TA-3346,Furniture,Tables,"Barricks Conference Table, with Bottom Storage",0.1,653.1,each,19.59,634.96
